[ ERROR_CONTEXT : pPack->EndX : ErrCode(197)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(295)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header Recv : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(188)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(308)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(193)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(301)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header Recv : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(193)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(301)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(197)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(295)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(197)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(295)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(202)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(290)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header Recv : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(197)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(295)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(202)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(290)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(202)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(290)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(205)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(288)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header Recv : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(202)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(290)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(205)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(288)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(205)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(288)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(206)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(287)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(206)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(287)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(211)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(281)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header Recv : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(205)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(288)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(206)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(287)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header Recv : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(206)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(287)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(211)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(281)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(211)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(281)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(231)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(263)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(231)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(263)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(247)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(247)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header Recv : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(211)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(281)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(231)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(263)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header Recv : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(231)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(263)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(247)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(247)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(247)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(247)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(302)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(193)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header Recv : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(247)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(247)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(302)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(193)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(302)    |    ERROR_TIME : 17:04:36 ] 
